course,block,bloom_level,citation_mode,question_type,model_id,language,question_number,question,answer,rubric_answer,rubric,time_taken_s,status
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 1,off,Short Answer,ollama-gemma4-31b,en,1,Define 'Hexameter' in the context of classical Greek and Latin literature.,"Hexameter is a metrical line of verses consisting of six feet. It was the standard epic metre used in classical Greek and Latin literature, specifically in works such as the Iliad, Odyssey, and Aeneid.",,"[Marks]
Accurate definition of hexameter as a line consisting of six feet - 3 marks
Identification of its role as the standard epic metre or mentioning examples like the Iliad, Odyssey, or Aeneid - 2 marks

[Key Points]
1. Six feet per line
2. Standard epic metre
3. Used in Iliad, Odyssey, and Aeneid",358.0,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 1,off,Short Answer,ollama-gemma4-31b,en,2,State the structural characteristics of Ovid's Metamorphoses.,"Ovid's Metamorphoses is a work of nearly 12,000 lines featuring nearly 250 narratives joined together across fifteen books. It is composed in the dactylic hexameter and focuses on the high literary subject of myth.",,"[Marks]
Mention of the approximate length (nearly 12,000 lines) - 2 marks
Mention of the number of narratives (nearly 250) and the number of books (fifteen) - 2 marks
Identification of the meter used (dactylic hexameter) - 1 marks

[Key Points]
1. 12,000 lines
2. 250 narratives
3. 15 books
4. Dactylic hexameter",358.0,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""1321: Dante, Divina Commedia 1340 Bersuire, Ovidius Moralizatus 1380 Chaucer, House of Fame 1390 Gower, Confessio Amantis 1532 Ariosto, Orlando Furioso 1567 Golding translation of The Metamorphoses 1590 Spenser, The Faerie Queene, Books 1–6 1593 Shakespeare, Venus and Adonis; Hero and Leander, Tempest, 1601 Ben Jonson, Poetaster 1632 Sandy translation of The Metamorphoses 1674 Milton, Paradise Lost"" — Examine the extent of Ovid's influence on later European literature based on the chronological list provided in the text.","Ovid's influence was vast and spanned several centuries, impacting a wide array of poets and writers from the Middle Ages through the modern era. This is evidenced by his influence on figures such as Dante in the 14th century, Shakespeare and Spenser in the 16th century, and Milton in the 17th century, showing that his work served as a foundational resource for the Western literary canon.",,"[Marks]
Ability to identify the breadth of Ovid's influence across different time periods - 2 marks
Correct referencing of specific authors/works from the text to support the argument - 2 marks
Clarity of explanation and synthesis of the list into a coherent observation - 1 marks

[Key Points]
1. Mention of the chronological span (12th to 20th century)
2. Reference to key figures like Dante, Shakespeare, or Milton
3. Understanding that Ovid influenced multiple genres and languages",31.1,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""This book contains six stories mainly - Cadmus, Actaeon, Sémele, Teiresias, Narcissus and Echo, Pentheus and Bacchus, Acoetes and the Lydian Sailors and Pentheus and Bacchus. We will be focusing on the story of Pentheus and Bacchus and Pentheus and Bacchus."" — Explain the primary focus of the study regarding Book III of the Metamorphoses and identify the specific narrative it emphasizes.","While Book III of the Metamorphoses contains a variety of stories including those of Cadmus, Actaeon, Seleme, Teiresias, Narcissus and Echo, and Acoetes and the Lydian Sailors, the course specifically focuses on the narrative of Pentheus and Bacchus for closer analysis.",,"[Marks]
Identification of the general contents of Book III - 2 marks
Correct identification of the specific story designated for closer analysis - 2 marks
Accuracy in listing the other stories mentioned in the text - 1 marks

[Key Points]
1. Recognition that Book III contains multiple myths
2. Explicit mention of Pentheus and Bacchus as the central focus
3. Distinction between the general list and the specific area of study",31.1,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""the blind Teiresias prophecises that Pentheus will at some point in the future disrespect Bacchus as a god and that he will be ripped apart by his own kin – his mother, and maternal aunts to be specific"" — Who was the prophet that predicted Pentheus's fate, and what specific prediction did he make regarding Pentheus's death?","The blind prophet Teiresias predicted that Pentheus would eventually disrespect Bacchus as a god and would be ripped apart by his own kin, specifically his mother and maternal aunts.",,"[Marks]
Correct identification of the prophet (Teiresias) - 2 marks
Correct identification of the cause of death (ripped apart by kin) - 2 marks
Mention of the specific kin involved (mother/aunts) - 1 marks

[Key Points]
1. Identification of Teiresias
2. Mention of the act of being ripped apart
3. Identification of the family members responsible",20.4,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 1,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""His aunt, Autonoe, rips off his arms, and his mother tears off his head and lets out a shout of victory."" — According to the text, which two family members were directly responsible for the physical dismemberment of Pentheus on Mount Cithaeron?","Pentheus was dismembered by his mother, Agave, who tore off his head, and his aunt, Autonoe, who ripped off his arms.",,"[Marks]
Correct identification of Autonoe and her action (ripping off arms) - 2.5 marks
Correct identification of Agave and her action (tearing off head) - 2.5 marks

[Key Points]
1. Autonoe is responsible for the arms
2. Agave is responsible for the head",20.4,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,Differentiate between the 'cum manu' and 'sine manu' systems of marriage in Roman society as presented in the context of the play.,"The 'cum manu' system was a traditional form of marriage where the woman passed from the legal power of her father into the jurisdiction (manus) of her husband. In this arrangement, she came under her husband's legal guardianship and any dowry she brought to the marriage passed to him; she only became independent after his death. In contrast, the 'sine manu' system allowed the woman to remain under the guardianship of her father. While she still shared her dowry with her husband, she remained legally independent (sui juris) after her father's death, provided a guardian was appointed, allowing her to own property in her own right.",,"[Marks]
Correct explanation of the 'cum manu' system and legal guardianship - 2 marks
Correct explanation of the 'sine manu' system and property rights - 2 marks
Clarity of the distinction between the two systems - 1 marks

[Key Points]
1. Cum manu: woman moves from father's power to husband's manus
2. Cum manu: husband controls the dowry/property
3. Sine manu: woman remains under father's power
4. Sine manu: woman can become sui juris (legally independent) and own property",30.6,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 2,off,Short Answer,ollama-gemma4-31b,en,2,Explain the significance of the lex Oppia and how its repeal reflects the anxieties of men like Megadorus.,"The lex Oppia was a sumptuary law passed in 215 and repealed in 195 that forbade Roman women from the conspicuous display of wealth, such as wearing multicoloured garments (specifically purple), extravagant gold jewellery, and using expensive transport. The repeal of this law meant that women could once again publicly assert their financial affluence. This created significant anxiety for husbands, as seen in the character of Megadorus, because it represented a loss of control over the extravagant spending habits of 'dowried' women and signaled a shift toward women having more financial fortification and independence within the marriage.",,"[Marks]
Accurate description of what the lex Oppia restricted - 2 marks
Explanation of the impact of the law's repeal - 2 marks
Connection to Megadorus's character and masculine anxiety - 1 marks

[Key Points]
1. Lex Oppia restricted luxury items like purple garments and gold jewellery
2. Repeal allowed women to display wealth publicly
3. This led to the 'chagrin' of husbands who could no longer control spending
4. Reflects the discomfort of men in power regarding women's financial independence",30.6,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 1,off,Short Answer,ollama-gemma4-31b,en,1,Define the two types of marriage contracts in Rome—cum manu and sine manu—as mentioned in the context of Plautus's work.,"In Roman society, marriage contracts were divided into two types: 'cum manu' and 'sine manu'. In a 'cum manu' marriage, the woman passed from the legal power of her father or guardian into the jurisdiction (manus) of her husband, and any property/dowry she brought passed to him; she became independent only after his death. In a 'sine manu' marriage, the woman remained under the guardianship of her father, meaning that after his death she could be legally independent (sui juris) and own property in her own right.",,"[Marks]
Accurate definition of cum manu marriage and the transfer of legal power/property - 2.5 marks
Accurate definition of sine manu marriage and the retention of father's guardianship/property rights - 2.5 marks

[Key Points]
1. Cum manu: Transfer of power to husband
2. Cum manu: Dowry passes to husband
3. Sine manu: Remains under father's power
4. Sine manu: Ability to be sui juris/own property",22.1,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 1,off,Short Answer,ollama-gemma4-31b,en,2,"What was the lex Oppia, and what specific restrictions did it impose on Roman women?","The lex Oppia was a sumptuary law passed in 215 AD (and repealed in 195 AD) that sought to control the display of wealth by women. It specifically forbade Roman women from conspicuous displays of affluence, such as wearing multicoloured garments (particularly purple), owning extravagant gold jewellery, and using certain forms of transport.",,"[Marks]
Correct identification of lex Oppia as a sumptuary law to control wealth display - 2 marks
Listing the specific restricted items (multicoloured/purple garments, gold jewellery, transport) - 3 marks

[Key Points]
1. Sumptuary law
2. Control of wealth display
3. Multicoloured/purple garments
4. Extravagant gold jewellery
5. Transport",22.1,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Plautus uses Euclio s rapport with the audience to reinforce his association between the miser OPLES gold and his alienation. He establishes through staging that Euclio iS completely alienated from all other characters onstage, but he arranges his monologues and asides so that Euclio has one human RSITY connection, the audience."" — Explain the significance of Euclio's relationship with the audience in the context of his social alienation.","Euclio is depicted as a character who is completely alienated from all other characters on stage. His only real human connection is with the audience, established through monologues and asides. This rapport is primarily centered on his obsession with his gold; however, as the gold is threatened and eventually disappears, his connection with the spectators also fades, reinforcing the idea that his miserliness is the root cause of his isolation.",,"[Marks]
Identification of Euclio's isolation from other characters - 2 marks
Explanation of the role of the audience as his sole connection - 2 marks
Linking this connection to his obsession with gold - 1 marks

[Key Points]
1. Euclio is alienated from all other characters
2. The audience serves as the only human connection
3. The rapport is built through monologues and asides
4. The connection is tied to the possession of the gold",27.5,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""With the failure of this attempt to find at least one ally in the audience, Euclios mood changes from hysteria to despondency and he begins to recognize that his obsession with the gold caused him to deprive himself to n° avail ."" — Discuss how Euclio's mood and perception of himself shift following the loss of his gold.","After losing his gold, Euclio's emotional state transitions from hysteria to despondency. He begins to realize that his obsession with wealth was counterproductive and that he had deprived himself of human connection to no avail. This recognition of failure is mirrored in his alienation from the audience, as he begins to view the spectators as people who gain pleasure from his misfortune rather than as allies.",,"[Marks]
Description of the shift from hysteria to despondency - 2 marks
Analysis of Euclio's realization regarding his obsession - 2 marks
Mention of his changing view of the audience - 1 marks

[Key Points]
1. Transition from hysteria to despondency
2. Recognition that the obsession with gold was a self-deprivation
3. Awareness of his own failure
4. Shift in rapport with the audience",27.5,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Exaggeration, pun, alliteration are all coupled with the bawdy."" — Which literary devices does Plautus couple with 'the bawdy' during the interaction between Euclio and Strobilus?","In the play, Plautus combines the use of the bawdy with exaggeration, pun, and alliteration to enhance the comic effects of the scene.",,"[Marks]
Identification of exaggeration - 1.5 marks
Identification of pun - 1.5 marks
Identification of alliteration - 2 marks

[Key Points]
1. Mention of exaggeration
2. Mention of pun
3. Mention of alliteration
4. Connection to 'the bawdy' or comic effects",17.5,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 1,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""After searching him, Euclio lets go of Strobilus and shifts the gold from Trust to Silvanus."" — According to the text, where does Euclio shift the gold from, and to which deity does he move it?",Euclio shifts the gold from the goddess of Trust to Silvanus.,,"[Marks]
Correct identification of the starting point (Trust) - 2.5 marks
Correct identification of the destination (Silvanus) - 2.5 marks

[Key Points]
1. Gold moved from Trust
2. Gold moved to Silvanus",17.5,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,Explain the significance of the interaction between Oedipus and Tiresias in terms of the contrast between physical sight and spiritual insight.,"The interaction between Oedipus and Tiresias serves as a powerful illustration of dramatic irony. Tiresias is physically blind, yet he possesses the 'sight' of truth, as he is able to identify Oedipus as the murderer of King Laius and the polluter of the land. Conversely, Oedipus possesses physical sight but is spiritually and intellectually blind to his own identity and history. This contrast highlights Oedipus's ignorance and his narcissistic arrogance, as he taunts the prophet's blindness while remaining oblivious to the fact that he is the very man he is hunting.",,"[Marks]
Identification of the paradox between physical blindness and spiritual sight - 2 marks
Explanation of Tiresias's role as the possessor of truth - 1.5 marks
Discussion of Oedipus's 'blindness' to his own reality and arrogance - 1.5 marks

[Key Points]
1. Tiresias is blind but sees the truth
2. Oedipus has sight but is blind to his true identity
3. The concept of dramatic irony
4. Oedipus's reaction of taunting/arrogance",32.1,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 2,off,Short Answer,ollama-gemma4-31b,en,2,Discuss how the 'Unity of Time' is maintained in Oedipus Rex and explain why this was important for the Greek audience.,"The Unity of Time is maintained by keeping the main action of the play within a single, continuous time frame in the present. While the play reveals a vast history—including Oedipus's birth, his time in Corinth, and the murder of Laius—these past events are not enacted on stage. Instead, they are delivered through narration, flashbacks, and the voices of the Chorus and other characters. This was crucial for the Greek audience because the open-air amphitheatres and the use of masks made depicting multiple time periods confusing. By adhering to this unity, the playwright creates a sense of urgency and keeps the audience focused on the immediate unfolding of the tragedy.",,"[Marks]
Correct explanation of how the unity is applied (present action vs. narration) - 2 marks
Explanation of the logistical reasons related to Greek theatre (masks/amphitheatres) - 2 marks
Mention of the psychological effect (sense of urgency) - 1 marks

[Key Points]
1. Main action happens in the present
2. Past events are revealed via dialogue/Chorus rather than scenes
3. Logistical constraints of ancient Greek stages
4. Creation of urgency for the audience",32.1,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 1,off,Short Answer,ollama-gemma4-31b,en,1,"Who is the blind prophet summoned by Oedipus, and what specific accusation does he level against the King?",The blind prophet is Tiresias. He accuses Oedipus of being the murderer of the former King Laius and states that Oedipus is the 'accursed polluter' of the land who lives in infamy with his nearest kin.,,"[Marks]
Correct identification of the prophet - 2 marks
Accurate statement of the accusation regarding the murder of Laius - 3 marks

[Key Points]
1. Identification of Tiresias
2. Mention of the murder of King Laius
3. Reference to Oedipus being the polluter of the land",20.2,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 1,off,Short Answer,ollama-gemma4-31b,en,2,"Define the 'Three Unities' as mentioned in the context of Aristotle's influence on drama, and specifically identify the 'Unity of Time' as it applies to Oedipus Rex.","The Three Unities refer to the Unity of Time, Unity of Place, and Unity of Action. In Oedipus Rex, the Unity of Time is illustrated by the fact that the main events on stage occur in the present moment (the state of Thebes during the plague), while past events are revealed through narration and flashbacks rather than through chronological jumps in the stage action.",,"[Marks]
Listing the Three Unities - 2 marks
Correct description of Unity of Time in the play - 3 marks

[Key Points]
1. Mention of Time, Place, and Action
2. Explanation that the stage action remains in the present
3. Mention of the use of flashbacks/narration for past events",20.2,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""And of the children, inmates of his home, He shall be proved the brother and the sire, Of her who bare him S0n and husband both, Co-partner and assassin of his sire."" — Explain the paradoxical nature of the prophecy delivered by Tiresias regarding Oedipus's relationship with his family.","Tiresias reveals a shocking paradox where Oedipus's identity is blurred across multiple roles. He explains that Oedipus is simultaneously the son and the husband of the same woman, and the son and the killer of his own father. This highlights the tragic irony of Oedipus's fate, where he fulfills a prophecy by becoming both the 'brother and the sire' to his children and the 'assassin' of his own father.",,"[Marks]
Identification of the dual roles (husband/son and son/killer) - 2 marks
Explanation of the paradoxical/tragic nature of these relationships - 2 marks
Clarity and coherence of the explanation - 1 marks

[Key Points]
1. Oedipus is the husband and son of the same woman
2. Oedipus is the son and killer of his father
3. The intersection of family roles creates the tragedy",24.8,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""Go in and ponder this, and if thou find That _ have missed the mark, henceforth declare have n० wit nor skill in prophecy"" — Examine the confidence of Tiresias in his prophetic abilities based on the provided text. What is he willing to risk?","Tiresias exhibits absolute certainty in his prophecy. He challenges Oedipus to reflect on his words and asserts that if his predictions are incorrect, he is willing to forfeit his professional identity. He declares that should he 'miss the mark,' he should be considered as having no 'wit nor skill in prophecy,' effectively staking his entire reputation and divine gift on the truth of his words.",,"[Marks]
Analysis of Tiresias's level of confidence - 2 marks
Identification of the specific risk/penalty (loss of prophetic reputation) - 2 marks
Use of textual evidence to support the claim - 1 marks

[Key Points]
1. Absolute certainty in the prophecy
2. Willingness to be declared unskilled/witless if wrong
3. The high stakes of the prophecy's accuracy",24.8,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""So privily without their leave _ went To Delphi, and Apollo sent me back Baulked of the knowledge that came tο seer."" — Where did Oedipus go to seek knowledge about his parentage after questioning his mother and sire?",Oedipus went privately to Delphi to seek answers from Apollo.,,"[Marks]
Correctly identifying the location (Delphi) - 3 marks
Mentioning the deity or authority involved (Apollo) - 2 marks

[Key Points]
1. Oedipus traveled to Delphi
2. The journey was done privately/without leave
3. Apollo was the source he consulted",16.6,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 1,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""Apollo sent me back Baulked of the knowledge that came tο seer. But other grievous things ne prophesied,"" — What was the outcome of Oedipus's visit to Delphi regarding the specific knowledge he sought?","Oedipus was denied the specific knowledge he came to seek, although Apollo prophesied other grievous things to him.",,"[Marks]
Stating that he was denied/baulked of the knowledge he sought - 3 marks
Mentioning that other grievous things were prophesied - 2 marks

[Key Points]
1. He did not receive the answer about his parentage
2. He received other distressing prophecies instead",16.6,success
