course,block,bloom_level,citation_mode,question_type,model_id,language,question_number,question,answer,rubric,time_taken_s,status
BEGC 101_ Indian Classical Literature,BLOCK SUDRAKA MRICHCHHAKATIKA,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Nataka denotes representation of the sacred and godly in a form that indicates the lofty and profound, not the ordinary. Instead, the name given to Mrichchhakatika is Prakarana."" — Explain why Mrichchhakatika is classified as a Prakarana rather than a Nataka, based on the nature of its themes and characters.","The student should explain that Nataka represents the sacred/lofty, whereas Prakarana represents the ordinary/worldly, and apply this to the specific plot of Mrichchhakatika.","[Marks]
Correct definition of Nataka as representing the sacred/lofty - 3 marks
Correct identification of Prakarana as representing the ordinary/worldly - 3 marks
Application to the characters (Charudatta/Vasantasena) or themes of the play - 4 marks

[Key Points]
1. Contrast between sacred/godly (Nataka) and ordinary (Prakarana)
2. Focus on worldly life and human actions
3. Absence of courtly/mythical themes in Mrichchhakatika",186.4,success
BEGC 101_ Indian Classical Literature,BLOCK SUDRAKA MRICHCHHAKATIKA,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""The primary condition of a parkarana to which class this drama belongs, is that it should be a drama of invention, i.e., the plot should be an invention of the poet, kavi-kalpita, based on worldly life focusing on the actions of men and women."" — Discuss the defining characteristics of the Prakarana form as exemplified in Shudraka's Mrichchhakatika.",The student must describe the concept of kavi-kalpita (invention) and how the play's plot and character types (mixed heroines) align with the Prakarana definition.,"[Marks]
Explanation of 'drama of invention' (kavi-kalpita) - 4 marks
Mention of the focus on worldly life and common human actions - 3 marks
Reference to the specific characters or the 'mixed' (samkirna) nature of the play - 3 marks

[Key Points]
1. Plot as an invention of the poet
2. Focus on worldly life/human actions
3. Example of the protagonist's social standing (poor Brahmin/courtesan)
4. Concept of samkirna (mixed) prakarana",186.4,success
BEGC 101_ Indian Classical Literature,BLOCK VYAS MAHABHARATA,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,"Explain the layered nature of the narration in the Mahabharata, describing how the story is transmitted through different narrators.","The candidate should explain the chain of transmission from Vyas to the final listeners in the Naimisa forest, highlighting the complexity of the narrative structure.","[Marks]
Identification of the primary composer (Vyas) and the role of Vaishampayana - 3 marks
Explanation of the transmission to King Janamejaya and Ugrashrava - 3 marks
Mention of the final audience (sages in Naimisa forest) and the role of Sanjaya - 2 marks
Clarity and conceptual flow of the explanation - 2 marks

[Key Points]
1. Vyas as the composer/eyewitness
2. Vaishampayana narrating to King Janamejaya
3. Ugrashrava narrating to the sages in Naimisa forest
4. Sanjaya's specific role in recounting battle scenes
5. The 'tortuous' nature of the transmission",175.5,success
BEGC 101_ Indian Classical Literature,BLOCK VYAS MAHABHARATA,Level 2,off,Short Answer,ollama-gemma4-31b,en,2,Discuss the dramatic significance of the contrast between the first and second halves of the chapter on 'The Dicing'.,The candidate must analyze how the shift from extreme wealth to slavery serves a dramatic purpose in the narrative.,"[Marks]
Description of the Pandavas' initial state of wealth and luxury - 3 marks
Explanation of the reversal of fortune (reduction to slaves) - 3 marks
Analysis of the dramatic effect and the irony of the 'family game' vs 'fatal game' - 3 marks
Overall coherence of the argument - 1 marks

[Key Points]
1. Exuberance and luxury of the Pandavas in the first half
2. Duryodhana's role in painting the picture of wealth
3. The shocking nature of the reversal to slavery
4. Contrast between 'family game' and 'fatal game'
5. The dramatic impact of the reversal of fortunes",175.5,success
BEGC 101_ Indian Classical Literature,BLOCK VYAS MAHABHARATA,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Clearly, Arjuna is more poised and detached than Bhima. For all his love for Draupadi, his sense of duty gets the better of him. It appears that the law in fact dehumanises him as he is unable to pledge support to his wife in this moment of crisis. Bhima alone speaks with passion."" — Explain the contrast between Arjuna's and Bhima's reactions to the crisis in 'The Dicing' and comment on the role of law in this context.","The student should explain that Arjuna prioritizes duty and law over emotion, leading to a sense of dehumanization, while Bhima reacts with passion.","[Marks]
Explanation of Arjuna's detachment and sense of duty - 4 marks
Contrast with Bhima's passionate reaction - 3 marks
Commentary on how the law dehumanizes the individual - 3 marks

[Key Points]
1. Arjuna's poise and detachment
2. The influence of baronial law/duty
3. The dehumanizing nature of law in this crisis
4. Bhima's passion as a counterpoint",178.6,success
BEGC 101_ Indian Classical Literature,BLOCK VYAS MAHABHARATA,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""Draupadi is able to accomplish what none could. She as Karna points out has become the salvation of the Pandavas! When they were sinking, boatless and drowning, in the plumbless ocean, the Pancali became the Pandavas’ boat, to set them ashore"" — Discuss the significance of Draupadi's actions in securing the freedom of the Pandavas after the game of dice.",The student must identify Draupadi as the catalyst for the Pandavas' liberation through the boons and discuss the irony of her role as their protector.,"[Marks]
Identification of the boons used to free Yudhisthira and the husbands - 4 marks
Discussion of the irony regarding protection and salvation - 4 marks
Reference to the metaphor of the 'boat' - 2 marks

[Key Points]
1. Use of three boons from Dhrtarastra
2. Securing freedom for Yudhisthira first, then others
3. Irony of the protector becoming the protected
4. Draupadi as the salvation/boat of the Pandavas",178.6,success
BEGC 102_ European Classical Literature,BLOCK HOMER THE ILIAD,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,Explain how the character of Hector exemplifies the tension between personal honour and the horror of war in Homeric culture.,The student should explain that Hector's nobility stems from his loyalty and commitment to honour despite the known risks of war.,"[Marks]
Explanation of Homeric personal honour and its relationship to fighting - 3 marks
Discussion of Hector's loyalty despite his disapproval of Paris - 3 marks
Analysis of the conflict between his duty and the suffering of his family - 4 marks

[Key Points]
1. Preservation of honour through fighting regardless of win/loss
2. Hector's loyalty to king and people
3. Disapproval of Paris' actions
4. Awareness of the suffering of Andromache and Astynax",184.7,success
BEGC 102_ European Classical Literature,BLOCK HOMER THE ILIAD,Level 2,off,Short Answer,ollama-gemma4-31b,en,2,"Discuss the depiction of the 'horror' of war as presented in the sequels to the Iliad, such as the plays by Euripides.",The student should describe the transition from the glory of war to the brutal reality of its aftermath for the non-combatants.,"[Marks]
Identification of the sequels and the shift in focus to the aftermath - 3 marks
Specific examples of horror (enslavement of women and death of Astynax) - 4 marks
Description of Hecuba's suffering and lamentation - 3 marks

[Key Points]
1. Mention of Euripides' plays (The Trojan Women/Hecuba)
2. Enslavement of Trojan women
3. The brutal execution of Astynax
4. Hecuba's feelings of wretchedness and loss",184.7,success
BEGC 102_ European Classical Literature,BLOCK HOMER THE ILIAD,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""The Iliad has generated two responses that are antithetical in nature an admiration for force that culminates in victory for one of the warring groups. In this context, force is seen as an index of power, strength, courage and merciless brutality an abhorrence for war that devastates both the victor and the vanquished."" — Explain the two antithetical responses to the depiction of war in The Iliad.",The student must identify both opposing views: the glorification of force as power/courage and the hatred of war due to its devastating effects on all parties involved.,"[Marks]
Correct identification and explanation of the first response (admiration of force/power) - 4 marks
Correct identification and explanation of the second response (abhorrence of devastation) - 4 marks
Clarity of expression and use of the term 'antithetical' or equivalent - 2 marks

[Key Points]
1. Admiration for force as index of power/strength
2. Abhorrence for war due to devastation
3. Impact on both victor and vanquished",212.3,success
BEGC 102_ European Classical Literature,BLOCK HOMER THE ILIAD,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""The poem invites uS to reflect on the nature of war itself, and the use of force as it shapes our understanding of virtues such AS honor and responsibility and vices such AS excessive pride, vengeance and cruelty"" — Discuss how the use of force in The Iliad influences the understanding of human virtues and vices according to Joel Rosenthal.",The student should explain that force is the lens through which the poem defines both the positive moral traits (virtues) and negative moral traits (vices) of the characters.,"[Marks]
Explanation of how force shapes the understanding of virtues (honor, responsibility) - 5 marks
Explanation of how force shapes the understanding of vices (pride, vengeance, cruelty) - 5 marks

[Key Points]
1. Virtues: honor and responsibility
2. Vices: excessive pride, vengeance, and cruelty
3. Force as the shaping factor",212.3,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,Discuss how the Metamorphoses balances the characteristics of a traditional epic with elements of other literary genres.,The student must identify both the epic traits and the blending of other genres.,"[Marks]
Identification of epic characteristics (length, structure, meter, and subject matter) - 5 marks
Explanation of the divergence through the inclusion of elegy, tragedy, and pastoral genres - 3 marks
Clarity of expression and conceptual coherence - 2 marks

[Key Points]
1. Mention of 12,000 lines and 15 books
2. Reference to dactylic hexameter and myths
3. Mention of the Iliad, Odyssey, or Aeneid as benchmarks
4. Identification of elegy, tragedy, and pastoral tones",168.7,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 2,off,Short Answer,ollama-gemma4-31b,en,2,Explain the significance of the use of dactylic hexameter in Ovid's work in relation to the classical literary tradition.,The student should explain what the meter is and why its use connects Ovid to a broader tradition.,"[Marks]
Correct definition of hexameter as a line of six feet - 3 marks
Connection to the classical tradition (Iliad, Odyssey, Aeneid) - 4 marks
Explanation of the link between meter and high literary subjects/myths - 3 marks

[Key Points]
1. Definition of hexameter (six feet)
2. Association with the standard epic meter
3. Mention of specific classical texts (Iliad/Odyssey/Aeneid)
4. Relationship between meter and the subject of myth",168.7,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Metamorphosis is a biological process by which an animal physically develops after birth or hatching, involving a conspicuous and relatively abrupt change in the animal’s body structure through cell growth and differentiation."" — Explain the biological process of metamorphosis as described in the provided text.",The student should explain that metamorphosis is a biological development process happening post-birth/hatching involving abrupt physical changes via cell growth and differentiation.,"[Marks]
Identification of metamorphosis as a biological process occurring after birth or hatching - 4 marks
Description of the change as conspicuous and abrupt - 3 marks
Mention of cellular growth and differentiation as the driving mechanisms - 3 marks

[Key Points]
1. Biological process
2. Post-birth or hatching
3. Conspicuous and abrupt structural change
4. Cell growth and differentiation",186.2,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""Metamorphosis is a biological process by which an animal physically develops after birth or hatching, involving a conspicuous and relatively abrupt change in the animal’s body structure through cell growth and differentiation."" — Describe the key characteristics and mechanisms that define the process of metamorphosis according to the source material.",The student must describe the nature of the physical change (abrupt/conspicuous) and the biological means by which it happens (cell growth/differentiation).,"[Marks]
Explanation of the nature of the physical change (abrupt and conspicuous) - 5 marks
Identification of the biological mechanisms (cell growth and differentiation) - 5 marks

[Key Points]
1. Abrupt and conspicuous change
2. Body structure alteration
3. Cell growth
4. Cell differentiation",186.2,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,Differentiate between the systems of 'cum manu' and 'sine manu' marriage in Roman society and explain how the shift toward the latter influenced the power dynamic between husband and wife.,The student must clearly distinguish between the two marriage types and identify the resulting change in husband's authority.,"[Marks]
Correct explanation of 'cum manu' marriage and legal guardianship - 4 marks
Correct explanation of 'sine manu' marriage and the concept of 'sui juris' - 4 marks
Explanation of the shift's impact on the husband's authority - 2 marks

[Key Points]
1. Cum manu: woman under husband's jurisdiction/manus
2. Sine manu: woman remains under father's power
3. Sui juris: legal independence of the woman after father's death
4. Diminution of husband's authority due to the shift",200.6,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 2,off,Short Answer,ollama-gemma4-31b,en,2,Explain the nature of the Lex Oppia and discuss the significance of its repeal in the context of the anxieties expressed by husbands regarding 'dowried' women.,The student should define the law and link its repeal to the psychological and social anxiety of Roman husbands.,"[Marks]
Accurate definition of Lex Oppia and the restrictions it imposed - 4 marks
Discussion on the effect of the repeal as financial assertion - 3 marks
Linking the repeal to husbands' anxiety (e.g., Megadorus) - 3 marks

[Key Points]
1. Lex Oppia as a sumptuary law
2. Restrictions on purple garments and gold jewellery
3. Repealment allowing financial assertion/display of wealth
4. Husbands' loss of control over dowried women's expenditures",200.6,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""it was safer to deride fictional characters and social institutions rather than real individuals, and it was even more convenient if these were associated with a foreign nation"" — Explain why the shift toward New Comedy in Roman plays was a strategically safer choice for playwrights compared to the Old Comedy of the Greeks.","The student should explain that New Comedy focused on domestic/fictional themes rather than political ones, making it safer to avoid targeting real individuals by using foreign or fictional characters.","[Marks]
Identification of the shift from political issues to fictional/foreign characters - 4 marks
Explanation of the 'safety' aspect regarding real individuals - 4 marks
Clarity and use of terminology (Old vs New Comedy) - 2 marks

[Key Points]
1. Difference between Old Comedy (political) and New Comedy (family/individual)
2. Risk associated with deriding real individuals
3. Convenience of using foreign nations as subjects",133.9,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""the plays with their happy endings featuring the punishment of the bad and the reward of the good functioned as a salutary reinforcement of the values, order and discipline that traditional Romans so strongly advocated for their families and themselves"" — Comment on the function of the 'chaotic world' in Roman adaptations of Greek New Comedy and how it served as a form of 'negative exemplarity'.",The student must describe the dual nature of the plays: the initial subversive chaos and the final restoration of order that reinforces traditional Roman values.,"[Marks]
Explanation of the subversive nature of the 'chaotic world' - 4 marks
Discussion of 'negative exemplarity' through the reward of good and punishment of bad - 4 marks
Connection to the reinforcement of traditional Roman values/discipline - 2 marks

[Key Points]
1. Subversion of social hierarchy
2. Function of happy endings
3. Reinforcement of traditional Roman order and discipline",133.9,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,Discuss the dramatic irony presented in the encounter between King Oedipus and the prophet Tiresias.,"The student must explain the contrast between physical blindness and metaphorical blindness, highlighting that Tiresias sees the truth while Oedipus does not.","[Marks]
Explanation of Tiresias's 'sight' despite physical blindness - 4 marks
Explanation of Oedipus's 'blindness' despite physical sight - 4 marks
Correct application of the concept of dramatic irony - 2 marks

[Key Points]
1. Tiresias: Physically blind but knows the truth.
2. Oedipus: Physically sighted but blind to his own identity.
3. The irony of the hunter being the hunted/murderer.
4. The connection between arrogance and the 'blind spot'.",99.4,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 2,off,Short Answer,ollama-gemma4-31b,en,2,Explain the concept of the Unity of Time as applied in Oedipus Rex and discuss why this structure was significant for the ancient Greek audience.,The student should define Unity of Time and explain how the play balances present action with narrated past events to maintain urgency.,"[Marks]
Definition of Unity of Time - 3 marks
Explanation of how the play implements this (present action vs. narration) - 4 marks
Discussion on the purpose (urgency and logistical clarity) - 3 marks

[Key Points]
1. Action occurs in a single time period.
2. Past events are revealed via narration/Chorus, not enactment.
3. Creation of a sense of urgency for the viewer.
4. Logistical reasons related to the Greek amphitheatre and masks.",99.4,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""4 roisterer at Some banquet, flown with wine, Shouted ""Thou art not true S0n of thy sire"" — Discuss the incident that triggered Oedipus's doubts regarding his biological parentage.",The student should explain that the doubt was sparked by a drunken man at a banquet who claimed Oedipus was not the true son of Polybus.,"[Marks]
Correct identification of the setting (banquet) and the character (roisterer) - 4 marks
Clear explanation of the specific accusation made - 4 marks
Articulation of how this led to a crisis of identity - 2 marks

[Key Points]
1. The incident occurred at a banquet
2. The accuser was a drunken roisterer
3. The core claim was that Oedipus was not his father's true son",136.2,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""My sire was Polybus of Corinth, and My mother Merope, A Dorian; Ana WAS held the foremost citizen, Till A strange thing befell me"" — Explain the social standing of Oedipus in Corinth before the 'strange thing' occurred, and how this context enhances the impact of the roisterer's claim.","The student must identify Oedipus's parents and his status as the 'foremost citizen,' explaining that the accusation was a blow to his established social and familial identity.","[Marks]
Identification of Polybus and Merope as his parents in Corinth - 3 marks
Explanation of the term 'foremost citizen' regarding his social status - 4 marks
Analysis of the contrast between his high status and the insult of illegitimacy - 3 marks

[Key Points]
1. Oedipus was the son of Polybus and Merope
2. He was the 'foremost citizen' of Corinth
3. The accusation challenged his legitimate right to this social standing",136.2,success
BEGC 103_ Indian Writing in English,BLOCK A TIGER FOR MALGUDI,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,Discuss the character of Madan and explain how his approach toward the tiger leads to a tragic outcome.,"Madan is a greedy and unscrupulous producer who treats the tiger as a prop. He forces Captain to use electric shocks to make the tiger perform, ignoring the animal's dignity. This cruelty and lack of morality lead to the situation where Captain is killed.","[Marks]
Identification of Madan's traits (greedy, unscrupulous, pragmatic) - 3 marks
Explanation of his treatment of the tiger (electric shocks, lack of dignity) - 4 marks
Linking his behavior to the tragic death of Captain - 3 marks

[Key Points]
1. Greedy/unscrupulous nature
2. Use of electric shocks for performance
3. Disregard for the tiger's dignity
4. Responsibility for Captain's death",151.0,success
BEGC 103_ Indian Writing in English,BLOCK A TIGER FOR MALGUDI,Level 2,off,Short Answer,ollama-gemma4-31b,en,2,Contrast the reactions of the adults and the children in Malgudi when the tiger enters the town.,"Adults react with terror, hiding in cupboards and bolting doors, showing a shift from their dignified circus persona to panic. Children react with delight and excitement, seeing the tiger's arrival as a reason to avoid school.","[Marks]
Analysis of adult behavior (panic, hiding, hypocrisy of dignity) - 5 marks
Analysis of children's behavior (delight, excitement, school avoidance) - 5 marks

[Key Points]
1. Adults: Terror, hiding, bolting doors
2. Adults: Contrast between circus behavior and town behavior
3. Children: Joy, excitement, delight
4. Children: Absence of fear/school holiday",151.0,success
BEGC 103_ Indian Writing in English,BLOCK A TIGER FOR MALGUDI,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""The protagonist is a woman and the novel portrays through her, the plight of women at large and the incredible strength they had, struggling with forces beyond their control in earlier times. It gives an account ofthe life of an Indian peasant woman Rukmani,herlove forherhusband Nathan and her struggle forsurvival. Conflicting western and eastern values are well portrayed in this novel. Kamala Markandaya deals with hunger and poverty, two major problems in India."" — Discuss how Kamala Markandaya portrays the struggles of the Indian peasantry and women in her novel 'Nectar in a Sieve'.","The student should explain the role of Rukmani as a representative of Indian peasant women, mentioning the themes of hunger, poverty, and the clash of Eastern and Western values.","[Marks]
Identification of Rukmani and her role as a symbol of women's strength - 3 marks
Explanation of socio-economic struggles (hunger and poverty) - 4 marks
Mention of the conflict between Western and Eastern values - 3 marks

[Key Points]
1. Protagonist: Rukmani
2. Themes: Hunger and Poverty
3. Conflict: Eastern vs Western values
4. Strength of women against uncontrollable forces",126.2,success
BEGC 103_ Indian Writing in English,BLOCK A TIGER FOR MALGUDI,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""This novel revolves around a middle aged educated woman caught between modern trends and traditional practices. This novel is a story of Jaya, married to Mohan for seventeen years with two children."" — Examine the central conflict faced by the protagonist Jaya in Shashi Deshpande's 'That Long Silence'.",The student must identify the protagonist Jaya and explain the specific tension between modern education/trends and traditional societal practices.,"[Marks]
Identification of Jaya as the protagonist - 2 marks
Analysis of the conflict between modern trends and traditional practices - 6 marks
Contextual mention of her status as an educated woman - 2 marks

[Key Points]
1. Protagonist: Jaya
2. Core Conflict: Modernity vs Tradition
3. Context: Middle-aged educated woman",126.2,success
BEGC 103_ Indian Writing in English,BLOCK POETRY,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,Explain the clash of values depicted in the poem 'Night of the Scorpion'.,"The student must explain the tension between superstition and rationalism, identifying the specific groups that represent these values.","[Marks]
Identification of the conflict between superstition and rationalism - 4 marks
Description of the villagers' and holy man's traditional approach - 3 marks
Analysis of the father's and narrator's rational/skeptical perspective - 3 marks

[Key Points]
1. Contrast between superstitious rural folk and rational urban education
2. Role of the holy man and village peasants
3. The father's frantic bid to alleviate pain using rational means
4. The narrator's sarcastic/skeptical attitude",129.3,success
