course,block,bloom_level,citation_mode,question_type,model_id,language,question_number,question,answer,rubric_answer,rubric,time_taken_s,status
BEGC 101_ Indian Classical Literature,BLOCK SUDRAKA MRICHCHHAKATIKA,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""It is finally stated that Sakara has killed Vasantasena and put instead the blame on Charudatta."" — Who is responsible for the death of Vasantasena in Sudraka's Mrichchhakatika, and who is wrongly accused of the crime?","In Sudraka's Mrichchhakatika, it is revealed that Sakara is the person who killed Vasantasena. Instead of accepting guilt, he puts the blame for the murder on Charudatta. This truth is eventually brought to light when Sakara's servant, Sthavaraka, undergoes a change of heart and decides to disclose the actual events.",,"[Marks]
Correctly identifying Sakara as the killer - 2 marks
Correctly identifying Charudatta as the person blamed - 2 marks
Mentioning the role of Sthavaraka in the revelation - 1 marks

[Key Points]
1. Sakara is the actual killer of Vasantasena
2. Charudatta is the one falsely accused
3. Sthavaraka is the servant who reveals the truth",33.6,success
BEGC 101_ Indian Classical Literature,BLOCK VYAS MAHABHARATA,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""When there was time to act you did not show me your present compassion. And now you have laid orders on me, the son to whom you denied the sacraments. You have never acted in my interest like a mother, and now, here you are, enlightening me solely in your own interest."" — Explain why Karna views Kunti's sudden display of compassion as an act of self-interest rather than genuine maternal love.","Karna views Kunti's compassion as opportunistic because she only approaches him when it serves her own purposes. He points out that she failed to show this love when he was vulnerable and specifically denied him the sacraments. Therefore, he interprets her current pleas not as the longing of a mother for her first-born, but as a calculated move to secure her own interests.",,"[Marks]
Correctly explaining the timing of Kunti's compassion as opportunistic - 2 marks
Referencing the denial of sacraments as evidence of neglect - 2 marks
Concluding the distinction between genuine love and self-interest - 1 marks

[Key Points]
1. Karna's rejection of Kunti's motives
2. Lack of support during early life
3. Denial of sacraments
4. Self-interest of Kunti",52.7,success
BEGC 101_ Indian Classical Literature,BLOCK VYAS MAHABHARATA,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""I know, Hrsikesa, that where there is Law there is triumph. Dhanamjaya carrying Gandiva had mounted a white elephant, together with you, Hrsikesa, blazing with sublime luster. All of you shall—about that I have no doubts—slaughter all the kings led by Duryodhana in battle, Krsna."" — Explain the significance of the imagery in Karna's dream and what it reveals about his perspective on the outcome of the battle.","Karna's dream uses symbolic imagery to signal the inevitable victory of the Pandavas. The white robes signify peace and justice, while the figures of Yudhisthira and Bhima suggest future rule and invincibility. This reveals that Karna has already accepted defeat before entering the battlefield, believing that the support of Krsna and the presence of Law (Dharma) make the destruction of Duryodhana's forces inevitable.",,"[Marks]
Identification and explanation of the symbolic imagery (e.g., white robes, figures of Pandavas) - 2 marks
Interpretation of the dream as a portent of the inevitable defeat of Duryodhana - 2 marks
Recognition of Krsna's support or Law (Dharma) as the decisive factor - 1 marks

[Key Points]
1. Imagery of white robes signifies justice/new order
2. Pandavas' positions suggest invincibility and rule
3. Karna's internal acceptance of defeat
4. The role of Krsna and Dharma in ensuring triumph",38.7,success
BEGC 101_ Indian Classical Literature,BLOCK VYAS MAHABHARATA,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Still, Dharamvir Bharati’s play Andha Yug evokes the post-war world of devastation in the Mahabharata to speak about the contemporary malaise caused by the partition of the country in 1947."" — Which play by Dharamvir Bharati evokes the post-war world of the Mahabharata to address the contemporary malaise caused by the 1947 partition of India?","Dharamvir Bharati authored the play titled Andha Yug. In this work, he evokes the post-war world of devastation found in the Mahabharata to reflect upon and speak about the contemporary malaise caused by the partition of India in 1947. This demonstrates how writers use myths and stories from the epic to express views on current events.",,"[Marks]
Correct identification of the play 'Andha Yug' - 2 marks
Correct identification of the author 'Dharamvir Bharati' - 1 marks
Correct linking of the work to the 1947 partition and post-war devastation - 2 marks

[Key Points]
1. Name of the play: Andha Yug
2. Author: Dharamvir Bharati
3. Context: 1947 partition and post-war devastation",54.2,success
BEGC 101_ Indian Classical Literature,BLOCK VYAS MAHABHARATA,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Thus Sanjaya, did the Steward give his law-minded and apt advice; but I did not heed it, for I wanted to favour my son"" — Based on the text, what reason does Dhrtarastra provide for ignoring the law-minded advice of the Steward?","Dhrtarastra explicitly admits that he ignored the law-minded and apt advice provided by the Steward because he wanted to favor his son. This confession underscores the central motif of the narrative, which is a father's blind love. It demonstrates how Dhrtarastra's excessive emotional attachment to his child took precedence over his royal duty to the law and reason.",,"[Marks]
Accurately stating that Dhrtarastra ignored advice specifically to favor his son - 3 marks
Connecting this action to the motif of blind love or the conflict between attachment and law - 2 marks

[Key Points]
1. Mention of the Steward's law-minded advice
2. Explicit mention of favoring the son as the primary motivation
3. Identification of the conflict between personal attachment and duty/law",74.3,success
BEGC 102_ European Classical Literature,BLOCK HOMER THE ILIAD,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""The Iliad has generated two responses that are antithetical in nature an admiration for force that culminates in victory for one of the warring groups. In this context, force is seen as an index of power, strength, courage and merciless brutality (2 an abhorrence for war that devastates both the victor and the vanquished."" — Discuss the two antithetical responses to war that the Iliad generates, as described in the source material.","The Iliad evokes two opposing perspectives on war. The first is an admiration for force, viewing victory as a demonstration of power, courage, and strength. The second is an abhorrence for war, focusing on the devastation it brings to both the victor and the vanquished. These contrasting views highlight the tension between the glorification of martial honor and the reality of unmitigated suffering.",,"[Marks]
Identification of the two antithetical responses (admiration for force vs. abhorrence for war) - 3 marks
Explanation of the characteristics of these responses (e.g., force as power/courage vs. devastation for both sides) - 2 marks

[Key Points]
1. Admiration for force as an index of power, strength, and courage
2. Abhorrence for war due to the devastation of both victors and vanquished
3. The antithetical nature of these two perspectives",40.4,success
BEGC 102_ European Classical Literature,BLOCK HOMER THE ILIAD,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""From the above, we conclude that an epic poem is a long poem including history a definition endorsed by the American poet and critic, Ezra Pound that depicts the heroic deeds of the protagonists. Yet another aspect of the epic is, it is a work of art surpassing the dimensions of realism"" — Explain the dual relationship that an epic poem maintains between history and everyday reality.","An epic poem operates through a dual relationship between historical documentation and artistic expression. It serves as a long poem that records history and the heroic deeds of its protagonists, mirroring the concept of 'ithihasa'. However, it is not limited to factual realism; it is also a work of art that surpasses everyday reality to reveal the grandeur, sublimity, and timeless essence of the human spirit.",,"[Marks]
Accurately explaining the epic's relationship to history and the depiction of heroic deeds - 2 marks
Explaining how the epic transcends realism to function as a work of art - 2 marks
Clarity of expression and synthesis of the duality - 1 marks

[Key Points]
1. Epic as a long poem incorporating history
2. Focus on heroic deeds of protagonists
3. Surpassing the dimensions of realism
4. The tension/balance between historical fact and artistic elevation",63.4,success
BEGC 102_ European Classical Literature,BLOCK HOMER THE ILIAD,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""These two Indian epics are known as Ithihasa where the word ithihasa splits as iti-ha-asa and means thus verily happened. Therefore, ithihasa or the epic means history as it truly happened"" — Define an epic poem and explain the meaning of the term 'ithihasa' as used in the context of Indian epics.","An epic poem is a long poem that depicts the heroic deeds of protagonists and includes history, often acting as a work of art that surpasses the dimensions of realism. It celebrates the presence of the Divine in the human spirit and the grandeur of life. In the context of Indian epics, the term 'ithihasa' is derived from 'iti-ha-asa', which means 'thus verily happened', signifying history as it truly happened.",,"[Marks]
Accurate definition of an epic poem as a long poem depicting heroic deeds and history - 2 marks
Correct explanation of the term 'ithihasa' and its literal meaning - 2 marks
Clarity of expression and adherence to the factual content of the text - 1 marks

[Key Points]
1. Epic is a long poem depicting heroic deeds
2. Epic incorporates history and surpasses realism
3. Ithihasa means 'thus verily happened'
4. Ithihasa equates to history as it truly happened",44.1,success
BEGC 102_ European Classical Literature,BLOCK HOMER THE ILIAD,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""The Iliad has generated two responses that are antithetical in nature an admiration for force that culminates in victory for one of the warring groups. In this context, force is seen as an index of power, strength, courage and merciless brutality (2 an abhorrence for war that devastates both the victor and the vanquished."" — Identify and describe the two antithetical responses that the Iliad has generated regarding the nature of war.","The Iliad has generated two opposing responses. The first is an admiration for force, where force is viewed as an index of power, strength, courage, and merciless brutality that culminates in victory. The second response is an abhorrence for war, focusing on how war devastates both the victor and the vanquished, bringing unmitigated suffering to a large number of people.",,"[Marks]
Accurate identification and description of the admiration for force as power and strength - 2.5 marks
Accurate identification and description of the abhorrence for war and its devastating effects on both sides - 2.5 marks

[Key Points]
1. Admiration for force as an index of power, strength, and courage
2. Abhorrence for war due to the devastation of both the victor and the vanquished",45.4,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Metamorphosis is a biological process by which an animal physically develops after birth or hatching, involving a conspicuous and relatively abrupt change in the animal’s body structure through cell growth and differentiation."" — Explain the concept of metamorphosis as a biological process based on the provided text.","Metamorphosis is a biological process that occurs after an animal is born or hatched. It involves a noticeable and relatively sudden transformation of the animal's physical body structure. This change is achieved through the biological mechanisms of cell growth and differentiation. Essentially, it describes a conspicuous physical development phase in an organism's lifecycle.",,"[Marks]
Accurate definition of metamorphosis as a biological process - 2 marks
Mention of the timing of the process (after birth or hatching) - 1 marks
Explanation of the nature of the change (abrupt body structure change via cell growth/differentiation) - 2 marks

[Key Points]
1. Biological process
2. Post-birth or hatching development
3. Abrupt change in body structure
4. Role of cell growth and differentiation",32.9,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Hellenistic influence did not extend just to architecture and writing alone, it extended to the cooking style and much of Roman cuisine was in fact, Greek cuisine."" — Explain the nature and extent of the Hellenistic influence on various aspects of ancient Roman society.","Ancient Roman society was profoundly shaped by the Hellenistic world across multiple domains. Greek slaves often served as tutors for young Romans, while writers adopted stylized Greek writing over the stilted Latin style. Furthermore, this influence permeated Roman architecture, specifically the use of the arch and dome, and extended into their culinary habits, where much of Roman cuisine was based on Greek traditions.",,"[Marks]
Explanation of Hellenistic influence on education and literature (tutors and writing style) - 2 marks
Explanation of Hellenistic influence on architecture (arch and dome) - 1.5 marks
Explanation of Hellenistic influence on cuisine - 1.5 marks

[Key Points]
1. Role of Greek slaves as tutors
2. Preference for stylized Greek writing over Latin
3. Inheritance of the arch and dome in architecture
4. Adoption of Greek cooking styles/cuisine",53.4,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""their rendezvous would be Ninus’ tomb, where they’d hide in the shade in of a certain tree – a tree which was tall and heavily laden with snow- white berries, a mulberry – close to a cooling fountain."" — Describe the specific location where Pyramus and Thisbe planned to meet and the natural features associated with that site.","Pyramus and Thisbe agreed to meet at the tomb of Ninus, which was located in the woods outside the city of Babylon. Their specific rendezvous point was in the shade of a tall mulberry tree characterized by its dense, snow-white berries. Additionally, this tree was situated close to a cooling fountain, serving as a secluded shelter for the two lovers.",,"[Marks]
Correct identification of the location as Ninus' tomb outside Babylon - 2 marks
Mention of the tall mulberry tree and its white berries - 2 marks
Mention of the cooling fountain - 1 marks

[Key Points]
1. The location is the tomb of Ninus.
2. The setting is in the woods outside Babylon.
3. The rendezvous point is a tall mulberry tree with white berries.
4. The tree is located near a cooling fountain.",37.3,success
BEGC 102_ European Classical Literature,BLOCK HORACE AND OVID,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""The only ones not worshippers of Bacchus are the daughters of Minyas who stick to the traditional practices associated with the worship of the Goddess Minerva. They are engaged in spinning and weaving and in order to entertain themselves as they go about their chores they tell each other tales of love but always involving some kind of transformation."" — Explain who are the only individuals in Thebes who do not worship Bacchus and describe their activities.","The only individuals in Thebes who do not worship Bacchus are the daughters of Minyas. They remain committed to the traditional worship of the Goddess Minerva. While performing their daily chores of spinning and weaving, they entertain themselves by telling each other love stories. These specific narratives always incorporate an element of transformation.",,"[Marks]
Correct identification of the daughters of Minyas as the non-worshippers - 2 marks
Mention of their adherence to the worship of the Goddess Minerva - 1 marks
Description of their activities including spinning, weaving, and storytelling about love and transformation - 2 marks

[Key Points]
1. Daughters of Minyas
2. Worship of Goddess Minerva
3. Spinning and weaving
4. Telling love stories involving transformation",71.8,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Fabula Palliate were re-workings or adaptations of the original Greek plays. Characters and broad plot outlines remained the same but playwrights such as Plautus were able to introduce in them the context of Rome, its people, society and the issues concerning the Romans."" — Explain the concept of 'Fabula Palliata' and discuss how Plautus adapted these plays for his Roman audience.","Fabula Palliata refers to Roman comedies that were adaptations or re-workings of original Greek plays. While Plautus retained the broad plot outlines and characters of the Greek originals, he modified the context to reflect Roman life. By integrating the people, society, and specific issues of Rome into the narrative, he transformed Greek stories into works that resonated with the cultural and social realities of the Roman public.",,"[Marks]
Accurate definition of Fabula Palliata as adaptations of Greek plays - 2 marks
Identification that characters and plot outlines remained largely unchanged - 1 marks
Explanation of the integration of Roman society, people, and context - 2 marks

[Key Points]
1. Fabula Palliata are re-workings of Greek plays
2. Broad plots and characters are preserved
3. Roman context and societal issues are introduced by the playwright",38.9,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""He establishes through staging that Euclio iS completely alienated from all other characters onstage, but he arranges his monologues and asides so that Euclio has one human RSITY connection, the audience."" — Explain the significance of Euclio's rapport with the audience in the context of his alienation from other characters in the play.","Euclio is completely isolated from all other characters in the play, making the audience his only genuine human connection. This relationship is constructed through asides and monologues where he shares his obsession with gold. However, this rapport is fragile; as his gold disappears, his connection with the spectators also fades, illustrating that his miserliness was the central axis of his remaining link to humanity.",,"[Marks]
Clear explanation of Euclio's total alienation from other characters onstage - 2 marks
Identification of the audience as the sole human connection and the role of monologues/asides - 2 marks
Understanding of how the loss of gold affects this rapport - 1 marks

[Key Points]
1. Euclio is alienated from all characters on stage
2. The audience serves as his only human connection
3. The rapport is built on his obsession with gold
4. The connection fades when the gold disappears",52.0,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Where it marks Euclio as a miser, its possession by Strobilus indicates its power to buy the slave his freedom."" — According to the text, what does the possession of the pot of gold represent for the slave Strobilus in contrast to how it characterizes Euclio?","For the slave Strobilus, possession of the pot of gold represents the power to purchase his freedom and end his continued oppression. In contrast, the gold characterizes Euclio as a miser who is obsessed with the object. While Euclio obsesses over the gold, Strobilus wishes to part with it quickly to secure his liberty.",,"[Marks]
Accurate identification of the gold's meaning for Strobilus (buying freedom/ending oppression) - 2.5 marks
Accurate identification of the gold's meaning for Euclio (marking him as a miser/obsession) - 2.5 marks

[Key Points]
1. Strobilus views the gold as a means to buy his freedom.
2. Euclio is characterized as a miser because of his obsession with the gold.
3. The contrast between wanting to keep the gold (Euclio) and wanting to part with it for liberty (Strobilus).",45.2,success
BEGC 102_ European Classical Literature,BLOCK PLAUTUS POT OF GOD,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""At this juncture, please mark how the slaves, (considered the social inferiors ), play an important role in the world of Plautus. They know important secrets, influence the course of events, and have thoughts of their own. They disagree with their masters and Plautus gives complete space for them to voice to their ideas."" — What is the role and significance of slaves in the world of Plautus, according to the provided text?","In the world of Plautus, slaves are integral characters who play a significant role by knowing important secrets and influencing the course of events. They possess their own thoughts and are given the space to voice their ideas, even when disagreeing with their masters. Through humor and the subversion of power, their characters highlight social dynamics and initiate processes of change within the ancient Roman world.",,"[Marks]
Accurate identification of the slaves' importance and their role in knowing secrets and influencing events - 3 marks
Mention of their ability to voice ideas and disagree with their masters - 2 marks

[Key Points]
1. Slaves are integral to Plautus's world despite being social inferiors.
2. They possess knowledge of secrets and influence the plot.
3. They have independent thoughts and the freedom to express them/disagree with masters.",52.4,success
