course,block,bloom_level,citation_mode,question_type,model_id,language,question_number,question,answer,citation,rubric_answer,rubric_marks,rubric_key_points,generation_time_ms,similarity_score,source_title,source_path,type_match,status
BEGC 103_ Indian Writing in English,BLOCK POETRY,Level 1,off,Short Answer,ollama-gemma4-e4b,en,1,"In the poem 'Night of the Scorpion', what was the specific incident that served as the catalyst for the central narrative, and where did this event occur?",The central narrative was catalyzed by the poet's mother being stung by a scorpion. This incident occurred during a rainy night in the poet's village childhood.,,,,,33070.76,0.5830212831497192,3.1 This unit is the third one of this Block on poetry. The poet that we will take,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 103_ Indian Writing in English\BLOCK POETRY\Unit-BEGC_103_e2ce5aa6_UNIT_3,True,success
BEGC 103_ Indian Writing in English,BLOCK POETRY,Level 1,off,Short Answer,ollama-gemma4-e4b,en,2,"In the poem 'Palanquin Bearers', the poem uses several similes to describe the movement of the person being carried. Name two distinct natural elements or objects used for comparison.","The poem compares the swaying person to natural elements such as a flower in the wind or a star in the dew. These comparisons emphasize the delicate, gentle, and ephemeral nature of the movement.",,,,,33070.76,0.5830212831497192,3.1 This unit is the third one of this Block on poetry. The poet that we will take,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 103_ Indian Writing in English\BLOCK POETRY\Unit-BEGC_103_e2ce5aa6_UNIT_3,True,success
BEGC 104_ British Poetry and Drama_ 14th - 17th Centuries,BLOCK SHAKESPEARE MACBETH,Level 1,on,Short Answer,ollama-gemma4-e4b,en,1,"According to Machiavelli in *The Prince*, if a ruler must choose between being loved or being feared, which approach did he suggest was safer for maintaining power?","Machiavelli suggests that it is far safer for a ruler to be feared rather than loved. He argues that since love and fear cannot coexist, choosing fear is the more reliable method for ensuring stability and maintaining authority.",,,,,36434.7,,,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 104_ British Poetry and Drama_ 14th - 17th Centuries\BLOCK SHAKESPEARE MACBETH\Unit-BEGC_104_eeebca0b_UNIT_4,True,success
BEGC 104_ British Poetry and Drama_ 14th - 17th Centuries,BLOCK SHAKESPEARE MACBETH,Level 1,on,Short Answer,ollama-gemma4-e4b,en,2,"In *Basilikon Doron*, King James draws a clear distinction between the good king and the usurping tyrant. How does James define the source of honor or accountability for each type of ruler?","King James defines the good king as being answerable to God and being ordained for his people. In contrast, the usurping tyrant is characterized by realizing that his people are, in fact, ordained for him.",,,,,36434.7,,,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 104_ British Poetry and Drama_ 14th - 17th Centuries\BLOCK SHAKESPEARE MACBETH\Unit-BEGC_104_eeebca0b_UNIT_4,True,success
BEGC 104_ British Poetry and Drama_ 14th - 17th Centuries,BLOCK SHAKESPEARE MACBETH,Level 2,off,Short Answer,ollama-gemma4-e4b,en,1,"In the dialogue between Malcolm and Macduff (Act IV), Malcolm tests Macduff's loyalty by describing himself with various negative traits (e.g., avarice, boundless intemperance). Explain the conceptual purpose of Malcolm's staged self-deprecation in assessing Macduff's true allegiance to the state.","Malcolm’s description of himself with vices serves a critical dramatic and political purpose. It is a philosophical test designed to gauge Macduff’s sincerity and commitment to the nation, rather than merely accepting superficial praise. By listing perceived flaws, Malcolm forces Macduff to acknowledge and reject corruption in theory, thereby proving that Macduff’s loyalty is based on moral principle and love for Scotland, not just obligation or fear of the tyrant.",,"The explanation must clearly identify that the self-deprecation is a deliberate, structured test. It must explain that the goal is to ascertain Macduff's moral compass and commitment to the state's goodness, thereby establishing Macduff’s ultimate trustworthiness.","[{""criterion"": ""Identifying the function of the test (Dramaturgical purpose)"", ""marks"": 3}, {""criterion"": ""Explaining that the test moves beyond surface praise (Conceptual understanding)"", ""marks"": 3}, {""criterion"": ""Connecting the test outcome to Macduff's proven moral allegiance (Synthesis/Application)"", ""marks"": 4}]","[""The self-deprecation is a rhetorical/philosophical test, not a literal description."", ""It is designed to measure Macduff's loyalty based on principles (like state welfare) rather than flattery."", ""By having Macduff reject the vices, Malcolm solidifies Macduff's status as a morally sound, trustworthy leader.""]",49285.05,0.5761979818344116,UNIT 1 MACBETH: AN INTRODUCTION,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 104_ British Poetry and Drama_ 14th - 17th Centuries\BLOCK SHAKESPEARE MACBETH\Unit-BEGC_104_eeebca0b_UNIT_1,False,success
BEGC 104_ British Poetry and Drama_ 14th - 17th Centuries,BLOCK SHAKESPEARE MACBETH,Level 2,off,Short Answer,ollama-gemma4-e4b,en,2,How did the intellectual currents of Humanism and Machiavelli’s political thought influence the way the themes of ambition and kingship are explored in the play?,"The play reflects the period’s intellectual shift toward Humanism, which emphasized human potential and individual action, moving focus away from purely divine right. Machiavelli’s treatise reinforces this by suggesting that a ruler must prioritize the maintenance of power (the state's stability) above traditional ethics. Macbeth's rapid ascent and subsequent fall illustrate this tension: his ambition, fueled by the belief that power can be seized through will and action, aligns with a manichean view of statecraft, while the play simultaneously critiques the moral cost of such ruthless self-determination.",,"The response must distinguish between the core tenets of Humanism (focus on human potential/agency) and Machiavellian thought (pragmatism/necessity of power). It must then explain how these ideas empower Macbeth's actions, allowing him to challenge the divine order, but also how the play ultimately judges this ambition.","[{""criterion"": ""Defining the influence of Humanism (Shift from divine to human focus)"", ""marks"": 3}, {""criterion"": ""Explaining the practical application of Machiavellian principles (Power over ethics)"", ""marks"": 4}, {""criterion"": ""Connecting these external philosophies to Macbeth's internal conflict (Synthesis)"", ""marks"": 3}]","[""Humanism shifts the focus of power dynamics from fate/gods to human will and individual action."", ""Machiavelli's ideas validate the acquisition and retention of power through any means necessary (pragmatism)."", ""Macbeth's actions embody this dangerous mix: his ambition (human drive) drives him to politics that disregard moral law (statecraft).""]",49285.05,0.5761979818344116,UNIT 1 MACBETH: AN INTRODUCTION,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 104_ British Poetry and Drama_ 14th - 17th Centuries\BLOCK SHAKESPEARE MACBETH\Unit-BEGC_104_eeebca0b_UNIT_1,True,success
BEGC 105_ American Literature,BLOCK SHORT FICTION,Level 1,off,Short Answer,ollama-gemma4-e4b,en,1,"According to the historical overview of the short story, which literary figure is generally regarded as the first modern short story writer and excelled in the detective story genre?",Edgar Allan Poe is regarded as the first modern short story writer mentioned in the text. He was noted for his mastery of genres such as the detective story and the Gothic thriller.,,,,,50782.74,0.5693972110748291,UNIT 1 SHORT FICTION: AN,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 105_ American Literature\BLOCK SHORT FICTION\Unit-BEGC_105_f48f6a2e_UNIT_1,True,success
BEGC 105_ American Literature,BLOCK SHORT FICTION,Level 1,off,Short Answer,ollama-gemma4-e4b,en,2,"What is the title of the collection, published in 1830, that is cited as the earliest example of short fiction appearing in Australia?",The earliest collection cited is *Tales of the Colonies* by John Howison. This work established a foundational presence for the genre within the Australian context.,,,,,50782.74,0.5693972110748291,UNIT 1 SHORT FICTION: AN,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 105_ American Literature\BLOCK SHORT FICTION\Unit-BEGC_105_f48f6a2e_UNIT_1,True,success
BEGC 105_ American Literature,BLOCK SHORT FICTION,Level 2,on,Short Answer,ollama-gemma4-e4b,en,1,"In what way did the literary objectives and styles of Mrs. Vidal, Mrs. Clancy, and John Lang differ when writing about the Australian colonies? (Explain the underlying purpose of their writing.)","The female writers, such as Mrs. Vidal, often utilized didactic preaching, aiming to teach moral lessons to the lower classes. Mrs. Clancy focused on promoting emigration by depicting those moving to Australia. Conversely, John Lang's approach was characterized by conveying the historical atmosphere and providing essential, non-moralizing descriptions of the landscape, flora, and fauna, while also giving insight into the convict period's customs.","John Lang is one of the first Australian writers before Lawson who dealt with events in the history of the colonies. It is possible to gain some insight into the life of the period through his stories. Lang gives glimpses of customs and regulations of the convict period, but while he does not provide an elaborate social history of the times, he does convey a sense of the atmosphere of Sydney and other parts of New South Wales during those early years of the settlement of the colony. His descriptions of the landscape, flora and fauna are essential to the story and not mere descriptions.",The answer must clearly articulate the differentiating aims of the three groups/authors.,"[{""criterion"": ""Identifying Mrs. Vidal's didactic and moralizing purpose (2 marks)"", ""marks"": 2}, {""criterion"": ""Identifying Mrs. Clancy's purpose related to promoting emigration (2 marks)"", ""marks"": 2}, {""criterion"": ""Explaining John Lang's unique style: historical focus, lack of moralizing, and descriptive detail (3 marks)"", ""marks"": 3}, {""criterion"": ""Providing a coherent comparison that shows the difference in literary goals (3 marks)"", ""marks"": 3}]","[""Mrs. Vidal's writing was didactic (preaching morals)."", ""Mrs. Clancy's writing promoted emigration to the colonies."", ""John Lang focused on historical atmosphere and detailed descriptions (flora, fauna, customs)."", ""The key difference is the shift from moralizing/persuasion (female writers) to objective historical documentation (Lang).""]",67185.61,,,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 105_ American Literature\BLOCK SHORT FICTION\Unit-BEGC_105_f48f6a2e_UNIT_3,True,success
BEGC 105_ American Literature,BLOCK SHORT FICTION,Level 2,on,Short Answer,ollama-gemma4-e4b,en,2,Explain how the early short fiction writers used the genre to reflect the major social conflicts and physical environments of the developing Australian colony. (Focus on the themes presented in the text.),"The authors used short fiction to address various societal conflicts. These included the challenges of the convict system and the lives of bushrangers. Furthermore, the relationship between white settlers and Aboriginal people was a major theme, depicted through accounts of pursuit and massacres. Environmentally, the descriptions of the landscape, flora, and fauna were crucial elements, providing insight into the newly settling colony’s unique and 'forbidding bizarre' nature.","John Lang is one of the first Australian writers before Lawson who dealt with events in the history of the colonies. It is possible to gain some insight into the life of the period through his stories. Lang gives glimpses of customs and regulations of the convict period, but while he does not provide an elaborate social history of the times, he does convey a sense of the atmosphere of Sydney and other parts of New South Wales during those early years of the settlement of the colony. His descriptions of the landscape, flora and fauna are essential to the story and not mere descriptions.",The answer must identify and explain the significance of both the social conflicts and the environmental representations in the literature.,"[{""criterion"": ""Identifying and explaining the social conflict themes (e.g., convict life, bushrangers, race relations) (3 marks)"", ""marks"": 3}, {""criterion"": ""Explaining the role of the environment/setting (landscape, flora, fauna) as a key narrative element (3 marks)"", ""marks"": 3}, {""criterion"": ""Discussing the overall function of the genre (reflecting historical change/conflict) (2 marks)"", ""marks"": 2}, {""criterion"": ""Structuring the explanation clearly and using appropriate terminology (2 marks)"", ""marks"": 2}]","[""The literature reflected social conflicts (convicts, bushrangers, Aboriginal relations/massacres)."", ""The setting (landscape, flora, fauna) was not incidental but essential to the story."", ""The genre served as a mirror for the rapidly developing, complex, and often conflicting colonial society.""]",67185.61,,,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 105_ American Literature\BLOCK SHORT FICTION\Unit-BEGC_105_f48f6a2e_UNIT_3,True,success
